Wall time,Step,Value
1526628065.2525764,600,0.9981250166893005
1526628126.0887337,1900,1.0
1526628154.208727,2500,0.9956250190734863
1526628230.115896,4100,0.9768750071525574
1526628239.5468574,4300,0.9668750166893005
1526628253.6660533,4600,0.8849999904632568
1526628291.322508,5400,0.8256250023841858
1526628305.4365456,5700,0.8218749761581421
1526628375.9657533,7200,0.8299999833106995
1526628390.0707228,7500,0.8368750214576721
1526628484.0994046,9500,0.8431249856948853
1526628521.7796926,10300,0.8575000166893005
1526628535.8755531,10600,0.8656250238418579
1526628540.5743494,10700,0.8606250286102295
1526628573.4485884,11400,0.8556249737739563
1526628634.5772974,12700,0.8962500095367432
1526628695.6475034,14000,0.9087499976158142
1526628747.3873405,15100,0.9162499904632568
1526628770.8766692,15600,0.903124988079071
1526628784.9845808,15900,0.8893749713897705
1526628827.3229895,16800,0.9049999713897705
1526628832.023229,16900,0.9024999737739563
1526628879.074398,17900,0.8887500166893005
1526628902.5750473,18400,0.8924999833106995
1526628911.9653118,18600,0.893750011920929
1526628916.6601076,18700,0.9049999713897705
1526628935.4657218,19100,0.9012500047683716
1526628973.045973,19900,0.8793749809265137
1526629010.6896944,20700,0.9150000214576721
1526629015.3945217,20800,0.921875
1526629038.8764577,21300,0.9087499976158142
1526629090.60998,22400,0.8837500214576721
1526629118.850368,23000,0.8812500238418579
1526629142.345768,23500,0.903124988079071
1526629212.818235,25000,0.9206249713897705
1526629241.068316,25600,0.9018750190734863
1526629264.5543551,26100,0.8999999761581421
1526629297.4424286,26800,0.8931249976158142
1526629316.226668,27200,0.9243749976158142
1526629325.6325088,27400,0.9131249785423279
1526629414.9793582,29300,0.90625
1526629438.4675784,29800,0.9049999713897705
1526629443.1646156,29900,0.9143750071525574
1526629466.7337978,30400,0.9150000214576721
1526629490.224979,30900,0.9181249737739563
1526629499.6121833,31100,0.9237499833106995
1526629537.18595,31900,0.909375011920929
1526629541.888567,32000,0.9287499785423279
1526629593.6140406,33100,0.9049999713897705
1526629635.910966,34000,0.9262499809265137
1526629673.514563,34800,0.9175000190734863
1526629748.726708,36400,0.9075000286102295
1526629767.5207508,36800,0.9168750047683716
1526629814.5498545,37800,0.9206249713897705
1526630021.364266,42200,0.9362499713897705
1526630026.0579917,42300,0.9381250143051147
1526630063.6998491,43100,0.9399999976158142
1526630105.9751623,44000,0.9212499856948853
1526630115.3706276,44200,0.925000011920929
1526630120.0634978,44300,0.9399999976158142
1526630134.1602485,44600,0.9268749952316284
1526630162.3981342,45200,0.9462500214576721
1526630204.7128158,46100,0.9443749785423279
1526630218.8115733,46400,0.9387500286102295
1526630223.5074496,46500,0.9312499761581421
1526630270.5020707,47500,0.9468749761581421
1526630350.4367251,49200,0.9281250238418579
1526630359.8328724,49400,0.940625011920929
1526630449.1494362,51300,0.9537500143051147
1526630458.5409467,51500,0.9437500238418579
1526630472.6350322,51800,0.953125
1526630510.3124676,52600,0.9474999904632568
1526630538.4896157,53200,0.9424999952316284
1526630547.892698,53400,0.9350000023841858
1526630561.980091,53700,0.9368749856948853
1526630590.1745272,54300,0.9468749761581421
1526630613.6605456,54800,0.9581249952316284
1526630660.6849518,55800,0.9293749928474426
1526630688.8952107,56400,0.9368749856948853
1526630717.0965576,57000,0.9443749785423279
1526630735.896467,57400,0.9412500262260437
1526630764.1744366,58000,0.9375
1526630773.5755203,58200,0.9418749809265137
1526630787.6679227,58500,0.9418749809265137
1526630797.0689778,58700,0.9437500238418579
1526630801.7647278,58800,0.9399999976158142
1526630825.2506862,59300,0.9443749785423279
1526630829.9543555,59400,0.9493749737739563
1526630872.2873454,60300,0.953125
1526630909.875292,61100,0.9212499856948853
1526630933.363673,61600,0.9456250071525574
1526630956.8647375,62100,0.9518749713897705
1526630966.2547765,62300,0.9487500190734863
1526631022.6889431,63500,0.9449999928474426
1526631055.6188464,64200,0.9362499713897705
1526631060.3141692,64300,0.9243749976158142
1526631069.7059205,64500,0.949999988079071
1526631083.8025382,64800,0.9474999904632568
1526631093.1992195,65000,0.9512500166893005
1526631149.6304018,66200,0.9443749785423279
1526631163.7233646,66500,0.9325000047683716
1526631182.5211015,66900,0.9325000047683716
1526631196.6210542,67200,0.9412500262260437
1526631210.7069263,67500,0.9318749904632568
1526631229.5592017,67900,0.9393749833106995
