Wall time,Step,Value
1526612680.8258023,600,0.4001319110393524
1526612686.1436186,700,0.42759108543395996
1526612707.4592338,1100,0.3816194534301758
1526612712.7912285,1200,0.3650834858417511
1526612723.4578655,1400,0.36884447932243347
1526612728.8016958,1500,0.4105837941169739
1526612734.147754,1600,0.3751514256000519
1526612750.2129357,1900,0.4267745018005371
1526612755.5615926,2000,0.4503171145915985
1526612760.914382,2100,0.4179586172103882
1526612782.3374262,2500,0.4051963686943054
1526612831.560887,3400,0.3957275450229645
1526612847.6921127,3700,0.3653672933578491
1526612869.158016,4100,0.3737111985683441
1526612879.9020875,4300,0.3323144018650055
1526612890.6364,4500,0.3107319474220276
1526612896.0002484,4600,0.34034332633018494
1526612906.7532856,4800,0.30238768458366394
1526612917.4993105,5000,0.32655587792396545
1526612922.8839211,5100,0.2715580463409424
1526612938.9805179,5400,0.29318225383758545
1526612944.3387082,5500,0.2712676227092743
1526612949.6954415,5600,0.32663774490356445
1526612955.045201,5700,0.30191513895988464
1526612960.3982763,5800,0.30659419298171997
1526612981.7958286,6200,0.3099917769432068
1526612992.897891,6400,0.29980212450027466
1526613004.257998,6600,0.2917645573616028
1526613009.9998496,6700,0.26652783155441284
1526613015.8247848,6800,0.27077966928482056
1526613021.395761,6900,0.28100380301475525
1526613037.5784912,7200,0.28364887833595276
1526613042.9568202,7300,0.23582959175109863
1526613048.3443801,7400,0.305313378572464
1526613053.7425058,7500,0.3134538233280182
1526613080.9770083,8000,0.2823062837123871
1526613108.2868197,8500,0.26514914631843567
1526613113.6804142,8600,0.24866428971290588
1526613124.6480827,8800,0.2695996165275574
1526613130.083633,8900,0.2811514139175415
1526613135.4617198,9000,0.25504645705223083
1526613162.85092,9500,0.21565106511116028
1526613206.6997886,10300,0.20878063142299652
1526613223.039312,10600,0.21186861395835876
1526613228.5772839,10700,0.1988690197467804
1526613267.4809096,11400,0.22536510229110718
1526613284.0176325,11700,0.19077420234680176
1526613294.9884188,11900,0.22488977015018463
1526613327.8929932,12500,0.2092740833759308
1526613333.454521,12600,0.17538288235664368
1526613338.9967365,12700,0.18904174864292145
1526613355.42216,13000,0.18274298310279846
1526613360.814998,13100,0.18193170428276062
1526613399.240261,13800,0.20296292006969452
1526613410.290722,14000,0.1834798902273178
1526613421.2102768,14200,0.18111757934093475
1526613426.8015125,14300,0.16624194383621216
1526613432.3667223,14400,0.26675644516944885
1526613437.867799,14500,0.18396466970443726
1526613470.96064,15100,0.19919829070568085
1526613498.0806491,15600,0.20987524092197418
1526613508.8434386,15800,0.18767739832401276
1526613514.2293088,15900,0.19063906371593475
1526613519.6129262,16000,0.21491745114326477
1526613535.7666042,16300,0.2048828899860382
1526613551.988625,16600,0.1962393820285797
1526613562.7864442,16800,0.22321327030658722
1526613568.1975257,16900,0.2278691977262497
1526613584.4077177,17200,0.23633897304534912
1526613611.482867,17700,0.17230069637298584
1526613616.891482,17800,0.16705957055091858
1526613622.282477,17900,0.1737358570098877
1526613633.0866582,18100,0.22344358265399933
1526613649.732014,18400,0.1658218652009964
1526613660.6799858,18600,0.18290530145168304
1526613666.0813258,18700,0.20226049423217773
1526613677.1049316,18900,0.16771318018436432
1526613688.0124583,19100,0.181124746799469
1526613693.4471633,19200,0.15723156929016113
1526613731.7076726,19900,0.18782798945903778
1526613775.388384,20700,0.1651041954755783
1526613780.788219,20800,0.2130897045135498
1526613786.374959,20900,0.17171898484230042
1526613808.4394763,21300,0.1425207555294037
1526613824.6328228,21600,0.19447055459022522
1526613841.2975938,21900,0.18445618450641632
1526613863.5641966,22300,0.1936293989419937
1526613869.1409693,22400,0.181296244263649
1526613880.2069,22600,0.1615389883518219
1526613891.2840662,22800,0.20671476423740387
1526613902.2254972,23000,0.18830686807632446
1526613918.716832,23300,0.20958207547664642
1526613924.158975,23400,0.16817809641361237
1526613929.6349955,23500,0.16981633007526398
1526613946.2758849,23800,0.2192671000957489
1526614000.5892935,24800,0.16838349401950836
1526614011.3652802,25000,0.19519773125648499
1526614043.7216377,25600,0.2017185091972351
1526614059.9089336,25900,0.1467846781015396
1526614065.3190231,26000,0.17365962266921997
1526614070.7314289,26100,0.16090118885040283
1526614076.1088228,26200,0.1728522777557373
1526614086.9422197,26400,0.14621083438396454
1526614108.5362248,26800,0.1645277887582779
1526614119.3242054,27000,0.15306569635868073
1526614130.1291277,27200,0.17593513429164886
1526614140.9232287,27400,0.1779291182756424
1526614167.894197,27900,0.159976527094841
1526614179.0115461,28100,0.15964600443840027
1526614200.6715543,28500,0.142551451921463
1526614238.6771882,29200,0.1768457591533661
1526614244.0899754,29300,0.17652316391468048
1526614271.0481408,29800,0.15682536363601685
1526614276.433425,29900,0.1918838918209076
1526614281.8203113,30000,0.1519283652305603
1526614292.6287432,30200,0.1592095047235489
1526614298.0117173,30300,0.18385930359363556
1526614303.4000468,30400,0.159714937210083
1526614325.0850952,30800,0.1401408165693283
1526614330.4615843,30900,0.13283270597457886
1526614341.2130604,31100,0.1505713313817978
1526614357.3605149,31400,0.13293549418449402
1526614378.959,31800,0.14601479470729828
1526614384.3578718,31900,0.15057335793972015
1526614389.7567804,32000,0.1434367299079895
1526614395.1510346,32100,0.17365112900733948
1526614405.9357698,32300,0.13542604446411133
1526614422.1272295,32600,0.12982480227947235
1526614427.5123706,32700,0.14578978717327118
1526614432.907772,32800,0.12475691735744476
1526614449.0867584,33100,0.1310136914253235
1526614454.479385,33200,0.2131919413805008
1526614465.2597334,33400,0.1475522816181183
1526614497.6168332,34000,0.14664244651794434
1526614508.3998811,34200,0.1506562978029251
1526614524.571627,34500,0.13999450206756592
1526614529.9710464,34600,0.17264749109745026
1526614540.7658842,34800,0.1651330590248108
1526614546.1659472,34900,0.17226538062095642
1526614573.1566532,35400,0.13443604111671448
1526614578.5466557,35500,0.1545882672071457
1526614589.3504794,35700,0.1504100263118744
1526614600.1450896,35900,0.1711074858903885
1526614610.9356663,36100,0.15217052400112152
1526614627.1153643,36400,0.16151686012744904
1526614648.688196,36800,0.13651935756206512
1526614670.261108,37200,0.13434843719005585
1526614681.067216,37400,0.13835206627845764
1526614702.90899,37800,0.1681244969367981
1526614708.3212934,37900,0.13133037090301514
1526614713.8737712,38000,0.1268807351589203
1526614724.7054498,38200,0.16130013763904572
1526614730.109787,38300,0.15528619289398193
1526614751.887014,38700,0.1228969544172287
1526614757.276163,38800,0.1164172887802124
1526614762.6705837,38900,0.13951890170574188
1526614778.809619,39200,0.18176913261413574
1526614784.200788,39300,0.1266353577375412
1526614789.5826523,39400,0.15420234203338623
1526614843.4151506,40400,0.12260960787534714
1526614870.3099072,40900,0.12978029251098633
1526614907.9541297,41600,0.15297085046768188
1526614913.3273616,41700,0.10986802726984024
1526614940.2208652,42200,0.13746535778045654
1526614945.5976048,42300,0.12678532302379608
1526614956.3422217,42500,0.1311226487159729
1526614967.1392164,42700,0.11186450719833374
1526614988.6533628,43100,0.13678064942359924
1526615037.0398116,44000,0.11087227612733841
1526615042.4139752,44100,0.11649838835000992
1526615047.7939646,44200,0.1456584930419922
1526615053.1832414,44300,0.12218665331602097
1526615069.3393118,44600,0.15218083560466766
1526615101.6402986,45200,0.11690681427717209
1526615139.2810907,45900,0.10802091658115387
1526615144.6579492,46000,0.11337203532457352
1526615150.0394752,46100,0.11633207648992538
1526615155.4174163,46200,0.13274385035037994
1526615166.1692593,46400,0.11603862047195435
1526615171.543283,46500,0.1219620332121849
1526615187.6792607,46800,0.13421747088432312
1526615193.0536368,46900,0.14821605384349823
1526615198.427964,47000,0.14016766846179962
1526615219.9399383,47400,0.12282008677721024
1526615225.315079,47500,0.13911114633083344
1526615246.856704,47900,0.11700208485126495
1526615284.500053,48600,0.13507016003131866
1526615300.6325867,48900,0.09920942038297653
1526615306.0196671,49000,0.12885919213294983
1526615316.7689345,49200,0.10313880443572998
1526615327.5203617,49400,0.13080182671546936
1526615343.6857083,49700,0.11686558276414871
1526615402.8728285,50800,0.1234269067645073
1526615419.002118,51100,0.1099352017045021
1526615424.3765547,51200,0.11221149563789368
1526615429.7579224,51300,0.12265398353338242
1526615440.5202906,51500,0.12638427317142487
1526615451.2682753,51700,0.12260343879461288
1526615456.643738,51800,0.09512671828269958
1526615467.411284,52000,0.11424891650676727
1526615494.300274,52500,0.15132543444633484
1526615499.705379,52600,0.0992918461561203
1526615531.9642527,53200,0.12129919230937958
1526615542.7122002,53400,0.08515769243240356
1526615548.093313,53500,0.09594985842704773
1526615553.4769735,53600,0.13885967433452606
1526615558.8506835,53700,0.11961641162633896
1526615564.2230291,53800,0.12200679630041122
1526615569.5979717,53900,0.13122576475143433
1526615574.9721699,54000,0.11521811783313751
1526615580.3513918,54100,0.16748130321502686
1526615585.7371163,54200,0.13707296550273895
1526615591.1162815,54300,0.1577625274658203
1526615601.8633695,54500,0.11605772376060486
1526615618.0224025,54800,0.1278432160615921
1526615623.4046164,54900,0.13580667972564697
1526615628.7873487,55000,0.1234530657529831
1526615639.5615287,55200,0.12614071369171143
1526615661.0699055,55600,0.11755488067865372
1526615671.8195126,55800,0.1672869175672531
1526615682.5746703,56000,0.10383729636669159
1526615704.0845923,56400,0.15260252356529236
1526615709.4699957,56500,0.12362666428089142
1526615714.855164,56600,0.1310899555683136
1526615736.3522818,57000,0.1326676905155182
1526615757.8658743,57400,0.14134377241134644
1526615763.2407203,57500,0.10633303970098495
