Wall time,Step,Value
1526235466.8674152,168,0.1352631151676178
1526235480.89001,475,0.09080170094966888
1526235483.7256675,537,0.10398867726325989
1526235486.0093734,587,0.12744757533073425
1526235488.7993736,648,0.08527263253927231
1526235524.876539,1437,0.09237098693847656
1526235538.6474013,1738,0.07820773124694824
1526235564.8121953,2308,0.08418621122837067
1526235568.5766137,2390,0.08091844618320465
1526235573.0293953,2487,0.09893104434013367
1526235610.742693,3247,0.07621567696332932
1526235667.9982095,4493,0.06781302392482758
1526235699.8640165,5135,0.07791677117347717
1526235735.4062946,5908,0.07079125940799713
1526235771.821264,6700,0.06109240651130676
1526235772.3726115,6712,0.06362871825695038
1526235784.0800173,6967,0.06195579096674919
1526235806.8973062,7464,0.06454706937074661
1526235824.6644447,7799,0.06781882047653198
1526235826.2747004,7834,0.06031186878681183
1526235842.242178,8181,0.06908813863992691
1526235844.1277092,8222,0.06050875037908554
1526235856.8695185,8499,0.05572129413485527
1526235891.928545,9261,0.06985189765691757
1526235901.5009387,9469,0.060278188437223434
1526235946.695658,10400,0.0662352442741394
1526235969.9797862,10906,0.053804025053977966
1526235972.7852662,10967,0.06602928042411804
1526235998.810959,11533,0.060993533581495285
1526236018.8708324,11970,0.061673812568187714
1526236062.9672537,12878,0.05797955021262169
1526236070.200774,13035,0.05522483214735985
1526236128.174086,14295,0.04807354137301445
1526236145.389903,14669,0.058240603655576706
1526236150.496293,14780,0.05363071709871292
1526236184.8150501,15474,0.06498001515865326
1526236214.3959029,16117,0.04589545726776123
1526236248.45305,16858,0.06418098509311676
1526236269.5696194,17318,0.05066889151930809
1526236282.3167064,17544,0.05309079587459564
1526236373.7308524,19532,0.04674877971410751
1526236378.7345912,19641,0.05188111215829849
1526236382.9123344,19732,0.05414864420890808
1526236400.4906807,20063,0.050483256578445435
1526236422.444765,20540,0.06062891706824303
1526236424.2385077,20579,0.04908398911356926
1526236436.9853704,20856,0.0553165003657341
1526236447.3419137,21081,0.051235731691122055
1526236450.2861004,21145,0.05242533981800079
1526236458.3404567,21320,0.045800864696502686
1526236504.8703232,22331,0.06064186245203018
1526236506.158473,22359,0.05771462246775627
1526236551.21467,23287,0.042219337075948715
1526236554.6567373,23362,0.04850306361913681
1526236557.6860569,23428,0.04741741344332695
1526236568.8464823,23671,0.04859691113233566
1526236570.2691643,23702,0.050199300050735474
1526236590.7455688,24148,0.052950095385313034
1526236598.7790318,24323,0.043346256017684937
1526236617.3689392,24728,0.04204440116882324
1526236626.8730953,24935,0.04475397616624832
1526236643.914158,25254,0.05068369209766388
1526236714.9913847,26798,0.04336964711546898
1526236754.5241656,27604,0.04438787326216698
1526236817.5701838,28971,0.046379826962947845
1526236818.7679663,28997,0.04387246072292328
1526236857.185253,29830,0.044892486184835434
1526236867.674829,30006,0.045666903257369995
1526236889.131334,30471,0.0417650006711483
1526236895.6713495,30613,0.054894499480724335
1526236900.0072172,30707,0.04278906434774399
1526236932.2830803,31407,0.06109614297747612
1526236933.9888692,31444,0.040478333830833435
1526236956.7148445,31937,0.04193183034658432
1526236979.7265508,32436,0.04175325855612755
1526237003.2534657,32895,0.04447921738028526
1526237003.6213284,32903,0.04704965278506279
1526237016.4754016,33182,0.03499418497085571
1526237042.093994,33738,0.05832527577877045
1526237042.6454594,33750,0.03468494117259979
1526237044.3039153,33786,0.043072398751974106
1526237046.7960033,33840,0.04643344134092331
1526237048.5028555,33877,0.0469939224421978
1526237050.2063477,33914,0.04384405538439751
1526237070.901904,34363,0.04433641582727432
1526237078.4119241,34526,0.05013080686330795
1526237081.8207655,34600,0.051239557564258575
1526237124.9381115,35484,0.0547831766307354
1526237146.5995927,35954,0.04712840914726257
1526237150.4738805,36038,0.04276973754167557
1526237177.7615328,36630,0.0546172559261322
1526237179.1438565,36660,0.048438698053359985
1526237187.9456687,36851,0.04150177165865898
1526237204.1761937,37203,0.035161182284355164
1526237217.3968203,37490,0.039153821766376495
1526237232.440075,37765,0.04412233084440231
1526237237.5993729,37877,0.039988938719034195
1526237276.5018914,38721,0.04384012147784233
1526237282.0404437,38841,0.04081187769770622
1526237303.0514681,39297,0.044631924480199814
