Wall time,Step,Value
1526612680.8258483,600,0.8287500143051147
1526612686.1436496,700,0.8587499856948853
1526612707.4592657,1100,0.8481249809265137
1526612712.791259,1200,0.8462499976158142
1526612723.4578967,1400,0.8787500262260437
1526612728.8017273,1500,0.8337500095367432
1526612734.147785,1600,0.8443750143051147
1526612750.2129812,1900,0.8025000095367432
1526612755.5616524,2000,0.7768750190734863
1526612760.914413,2100,0.831250011920929
1526612782.3374572,2500,0.8268749713897705
1526612831.5609179,3400,0.8381249904632568
1526612847.6921606,3700,0.8600000143051147
1526612869.1580472,4100,0.8487499952316284
1526612879.90213,4300,0.878125011920929
1526612890.6364443,4500,0.8756250143051147
1526612896.0002806,4600,0.8512499928474426
1526612906.753328,4800,0.8931249976158142
1526612917.4993536,5000,0.8793749809265137
1526612922.883964,5100,0.9112499952316284
1526612938.9805617,5400,0.8981249928474426
1526612944.3387425,5500,0.9018750190734863
1526612949.6954951,5600,0.8725000023841858
1526612955.0452342,5700,0.8862500190734863
1526612960.3983197,5800,0.8837500214576721
1526612981.7958715,6200,0.8799999952316284
1526612992.8979235,6400,0.8824999928474426
1526613004.2580397,6600,0.8799999952316284
1526613009.9998825,6700,0.9137499928474426
1526613015.8248174,6800,0.9006249904632568
1526613021.3957932,6900,0.8993750214576721
1526613037.5785336,7200,0.8862500190734863
1526613042.9568634,7300,0.9312499761581421
1526613048.3444126,7400,0.8693749904632568
1526613053.7425494,7500,0.8799999952316284
1526613080.9770515,8000,0.9018750190734863
1526613108.2868524,8500,0.8956249952316284
1526613113.6804466,8600,0.90625
1526613124.6481254,8800,0.8993750214576721
1526613130.0836751,8900,0.8868749737739563
1526613135.4617636,9000,0.9118750095367432
1526613162.8509634,9500,0.9293749928474426
1526613206.6998212,10300,0.9225000143051147
1526613223.039344,10600,0.9318749904632568
1526613228.5773153,10700,0.9350000023841858
1526613267.480943,11400,0.9143750071525574
1526613284.0176635,11700,0.934374988079071
1526613294.988463,11900,0.9006249904632568
1526613327.893038,12500,0.9231250286102295
1526613333.454564,12600,0.9474999904632568
1526613338.9967682,12700,0.9368749856948853
1526613355.4222035,13000,0.934374988079071
1526613360.815055,13100,0.9281250238418579
1526613399.2403064,13800,0.9231250286102295
1526613410.2907646,14000,0.9306250214576721
1526613421.2103283,14200,0.9350000023841858
1526613426.8015554,14300,0.9412500262260437
1526613432.3667657,14400,0.8843749761581421
1526613437.8678417,14500,0.9412500262260437
1526613470.9606836,15100,0.9268749952316284
1526613498.080693,15600,0.9206249713897705
1526613508.843503,15800,0.9306250214576721
1526613514.2293527,15900,0.9268749952316284
1526613519.6129837,16000,0.9287499785423279
1526613535.7666342,16300,0.9293749928474426
1526613551.9886687,16600,0.9281250238418579
1526613562.7864883,16800,0.9206249713897705
1526613568.197558,16900,0.9112499952316284
1526613584.4077494,17200,0.90625
1526613611.48291,17700,0.9381250143051147
1526613616.8915143,17800,0.9387500286102295
1526613622.282509,17900,0.9393749833106995
1526613633.0866926,18100,0.9168750047683716
1526613649.732046,18400,0.9462500214576721
1526613660.680017,18600,0.9375
1526613666.0813596,18700,0.9206249713897705
1526613677.1049888,18900,0.9443749785423279
1526613688.0124905,19100,0.9362499713897705
1526613693.4472072,19200,0.953125
1526613731.707718,19900,0.9300000071525574
1526613775.3884273,20700,0.949999988079071
1526613780.7882504,20800,0.9237499833106995
1526613786.374992,20900,0.9443749785423279
1526613808.4395084,21300,0.9481250047683716
1526613824.6328537,21600,0.9168750047683716
1526613841.297638,21900,0.9337499737739563
1526613863.5642424,22300,0.9237499833106995
1526613869.1410136,22400,0.9306250214576721
1526613880.206946,22600,0.9368749856948853
1526613891.2841141,22800,0.918749988079071
1526613902.2255306,23000,0.9231250286102295
1526613918.716864,23300,0.9231250286102295
